  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
  EventTrace,     Header,            0,          2,          0,          0,          0,          0, 0x0000000000000000, 0x00001568, 0x00001564,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,        150,         75,   524288, 83951626,    26200,        4, 134329345628761042,   156250,        0, 0x10001,        5,        1,        8,        0,     2196, 0x0, 0x0, 134329343415000000,         10000000, 134329345334387731, 0x1,        0, "Relogger", "[multiple files]"
  EventTrace, PartitionInfoExtensionV2,            0,          2,          0,          0,         80,          0, 0x0000000000000000, 0x000011B8, 0x00000548,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,        195,         45,      0,      0,        0,                0, "", "",  0x00000000000000000000000000000000000000000000000000000000
  EventTrace, PartitionInfoExtensionV2,            0,          2,          0,          0,         80,          0, 0x0000000000000000, 0x000011B8, 0x00000548,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,        195,         45,      0,      0,        0,                0, "", "",  0x00000000000000000000000000000000000000000000000000000000
  EventTrace,  BuildInfo,            0,          2,          0,          0,         66,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, "26100.1.amd64fre.ge_release.240331-1435"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, {e1d3f35a-c02a-703a-c0de-35c46fa7071e},        1, "vhdmp.pdb"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, {76abde1c-a54c-7125-11fb-d4ea4e39ba9f},        1, "VirtDisk.pdb"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, {00844f38-82c9-9cd8-ff15-f634fd36752e},        1, "mup.pdb"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, {ec8e496a-79b7-b9ae-8916-7be42e0159c3},        1, "csc.pdb"
  EventTrace,  DbgIdRSDS,            0,          2,          0,          0,         64,          0, 0x0000000000000000, 0xFFFFFFFF, 0xFFFFFFFF,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, {1a5973ce-a8eb-e746-ea5c-9625d59ef3f9},        1, "dfsc.pdb"
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         33,            0,          0,          0,          0,         33,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=64
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         34,            0,          0,          0,          0,         34,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=50
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=14
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=12
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=132
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=108
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=50
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=58
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=58
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=32
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=52
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=32
{9b79ee91-b5fd-41c0-a243-4248e266e9d0},         35,            0,          0,          0,          0,         35,          0, 0x0000000000000000, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345334387731,          0,          0, DataSize=12
   OnRundown,          0,            0,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00000BEC, 0x00000A6C,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345336748870,         15,          0, "Begin Rundown"
      Entity,          0,            0,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00000BEC, 0x00000A6C,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345336750092,         15,          0, "", "{"ActivityId":"344B2058-FD0D-4648-9D10-6A2D0F6A05DC","AdditionalParams":{},"CompartmentGuid":"B1062982-2B18-4B4F-B3D5-A78DDB9CDD49","CompartmentId":1,"Containers":[],"Flags":0,"Health":{"LastErrorCode":0,"LastUpdateTime":134329343644033640},"ID":"910F7D92-BA2D-4C3F-98AE-7C0AC590D2DC","IsDefault":true,"Policies":[],"ReadyOnCreate":false,"State":1,"Version":68719476736}"
   OnRundown,          0,            0,          0,         11,          5,          0,          0, 0x0000000000000000, 0x00000BEC, 0x00000A6C,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345336750130,         15,          0, "End Rundown"
Service starting,          0,            0,          0,         11,          4,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    1,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363632097,          0,          0, DataSize=0
     Unknown,         10,           10,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672180,          0,          0, "Unknown", "", "Unknown( 10): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 10", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367218000Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         28,           28,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672191,          0,          0, "Unknown", "", "Unknown( 28): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 28", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367219100Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         30,           30,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672198,          0,          0, "Unknown", "", "Unknown( 30): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 30", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367219800Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         16,           16,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672262,          0,          0, "Unknown", "", "Unknown( 16): GUID=b8ec61bc-8b28-3db2-3215-0b702b34e2f1 (No Format Information found).", "", "", {b8ec61bc-8b28-3db2-3215-0b702b34e2f1}, " 16", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367226200Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         16,           16,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672279,          0,          0, "Unknown", "", "Unknown( 16): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 16", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367227900Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         12,           12,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672352,          0,          0, "Unknown", "", "Unknown( 12): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 12", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367235200Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         24,           24,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672360,          0,          0, "Unknown", "", "Unknown( 24): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 24", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367236000Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         25,           25,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672363,          0,          0, "Unknown", "", "Unknown( 25): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 25", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367236300Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         46,           46,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672459,          0,          0, "Unknown", "", "Unknown( 46): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 46", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367245900Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         45,           45,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672478,          0,          0, "Unknown", "", "Unknown( 45): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 45", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367247800Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         24,           24,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672481,          0,          0, "Unknown", "", "Unknown( 24): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 24", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367248100Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         25,           25,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672484,          0,          0, "Unknown", "", "Unknown( 25): GUID=0fb1d466-81b3-31a7-af11-67046103ae69 (No Format Information found).", "", "", {0fb1d466-81b3-31a7-af11-67046103ae69}, " 25", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367248400Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         47,           47,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672489,          0,          0, "Unknown", "", "Unknown( 47): GUID=4d0a826c-214c-3a52-d413-1c62238d98a9 (No Format Information found).", "", "", {4d0a826c-214c-3a52-d413-1c62238d98a9}, " 47", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367248900Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         17,           17,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672500,          0,          0, "Unknown", "", "Unknown( 17): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 17", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367250000Z", {00000000-0000-0000-0000-000000000000}
     Unknown,         18,           18,          0,          0,          0,          0,          0, 0x0000000000000000, 0x000015D4, 0x00000928,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134329345363672503,          0,          0, "Unknown", "", "Unknown( 18): GUID=4224fc64-62d2-39ef-e09d-540716e6c5d6 (No Format Information found).", "", "", {4224fc64-62d2-39ef-e09d-540716e6c5d6}, " 18", "2026-09-03T19:42:16.367Z",        0, "", "", "2026-09-03T18:42:16.367250300Z", {00000000-0000-0000-0000-000000000000}
